event,net,sta,ML_station_mean,ML_station_median,ML_station_std,n_horizontal_component,distance_km,distance_min_km,distance_max_km,header_ML,amplitude_h_nm_max,amplitude_h_nm_mean,amp_window_start,amp_window_end,s_pick,s_source,ML_formula,ML_HHE,ML_HHN,ML_HHZ,amp_nm_HHE,amp_nm_HHN,amp_nm_HHZ,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,abs_ML_station_minus_header
20060112010459_ML4.8,TW,TGVB,5.70498874933153,5.70498874933153,0.07045824064338961,2,257.498779296875,257.498779296875,257.498779296875,4.800000190734863,48103.54826546035,43172.488650026295,2006-01-12T01:06:44.349000,2006-01-12T01:08:19.264853,2006-01-12T01:06:44.349000,header,SEISAN_HUTTON_NM,5.655167249582116,5.754810249080945,5.417062797072415,38241.42903459225,48103.54826546035,22101.902586654996,5.70498874933153,0.07045824064338961,5.417062797072415,-0.28792595225911555,0.904988558596667,0.904988558596667
20060115142929_ML3.0,TW,DBVB,3.5634769681756087,3.5634769681756087,0.07534657909021794,2,47.70921325683594,47.70921325683594,47.70921325683594,3.0,5666.777086247013,5050.308329039081,2006-01-15T14:30:01.919000,2006-01-15T14:30:17.405142,2006-01-15T14:30:01.919000,header,SEISAN_HUTTON_NM,3.6167550451895103,3.510198891161707,3.1583818495794382,5666.777086247013,4433.839571831149,1972.2543996483375,3.5634769681756087,0.07534657909021794,3.1583818495794382,-0.4050951185961704,0.5634769681756087,0.5634769681756087
20060115142929_ML3.0,TW,DSVB,3.5045145668194952,3.5045145668194952,0.01840201746392877,2,307.1416015625,307.1416015625,307.1416015625,3.0,184.53690640256644,179.1702702776572,2006-01-15T14:31:16.558999,2006-01-15T14:33:10.360068,2006-01-15T14:31:16.558999,header,SEISAN_HUTTON_NM,3.491502375483238,3.5175267581557526,3.6586855317836777,173.80363415274797,184.53690640256644,255.4124184835813,3.5045145668194952,0.01840201746392877,3.6586855317836777,0.15417096496418248,0.5045145668194952,0.5045145668194952
20060115142929_ML3.0,TW,LCVB,3.399905099635091,3.399905099635091,0.0790293830977769,2,35.64474868774414,35.64474868774414,35.64474868774414,3.0,5697.753662491198,5051.343009072496,2006-01-15T14:29:58.579003,2006-01-15T14:30:09.362166,2006-01-15T14:29:58.579003,header,SEISAN_HUTTON_NM,3.3440228869336632,3.4557873123365184,3.116982522472922,4404.932355653795,5697.753662491198,2611.5532108888347,3.399905099635091,0.0790293830977769,3.116982522472922,-0.28292257716216884,0.3999050996350908,0.3999050996350908
20060115142929_ML3.0,TW,TGVB,3.2075766556819136,3.2075766556819136,0.3113439669876881,2,21.472368240356445,21.472368240356445,21.472368240356445,3.0,9971.50174170497,6794.689000435353,2006-01-15T14:29:54.109002,2006-01-15T14:29:59.913912,2006-01-15T14:29:54.109002,header,SEISAN_HUTTON_NM,3.4277300860204285,2.9874232253433988,2.790469458328996,9971.50174170497,3617.876259165736,2298.7934009676537,3.2075766556819136,0.3113439669876881,2.790469458328996,-0.4171071973529177,0.20757665568191364,0.20757665568191364
20060226161229_ML3.5,TW,BGVB,3.9413248577103124,3.9413248577103124,0.18323062151850952,2,298.0760803222656,298.0760803222656,298.0760803222656,3.5,709.6130117840532,550.1794156526526,2006-02-26T16:13:54.029997,2006-02-26T16:15:53.617387,2006-02-26T16:13:54.029997,header,SEISAN_HUTTON_NM,3.8117612427135485,4.070888472707076,3.902904965348367,390.7458195212518,709.6130117840532,481.9900389225331,3.9413248577103124,0.18323062151850952,3.902904965348367,-0.03841989236194543,0.4413248577103124,0.4413248577103124
20060226161229_ML3.5,TW,DBVB,4.167315553160707,4.167315553160707,0.025883850473165226,2,40.3808708190918,40.3808708190918,40.3808708190918,3.5,26088.153931929886,25033.76989144688,2006-02-26T16:12:48.539999,2006-02-26T16:13:01.820581,2006-02-26T16:12:48.539999,header,SEISAN_HUTTON_NM,4.149012906967913,4.185618199353501,3.574029659776204,23979.38585096387,26088.153931929886,6380.501406830177,4.167315553160707,0.025883850473165226,3.574029659776204,-0.5932858933845031,0.6673155531607069,0.6673155531607069
20060226161229_ML3.5,TW,DSVB,3.88716853702105,3.88716853702105,0.18124952362429508,2,280.9171447753906,280.9171447753906,280.9171447753906,3.5,718.5815264159432,558.4133464746287,2006-02-26T16:13:48.720000,2006-02-26T16:15:42.178097,2006-02-26T16:13:48.720000,header,SEISAN_HUTTON_NM,3.7590057697794794,4.01533130426262,3.95355402807599,398.24516653331415,718.5815264159432,623.3023607894613,3.88716853702105,0.18124952362429508,3.95355402807599,0.06638549105494018,0.3871685370210498,0.3871685370210498
20060226161229_ML3.5,TW,HBVB,3.849785995047755,3.849785995047755,0.06922975035004629,2,208.86309814453125,208.86309814453125,208.86309814453125,3.5,1044.5784476667923,939.1638035886458,2006-02-26T16:13:38.240004,2006-02-26T16:14:54.142065,2006-02-26T16:13:38.240004,header,SEISAN_HUTTON_NM,3.8008331691153856,3.8987388209801246,3.5000691296977458,833.7491595104992,1044.5784476667923,417.12994646555336,3.849785995047755,0.06922975035004629,3.5000691296977458,-0.34971686535000934,0.3497859950477551,0.3497859950477551
20060226161229_ML3.5,TW,LAVB,3.8417779060438084,3.8417779060438084,0.017868089369131035,2,229.1026153564453,229.1026153564453,229.1026153564453,3.5,779.4266625961116,757.3983780417436,2006-02-26T16:13:43.400000,2006-02-26T16:15:07.635077,2006-02-26T16:13:43.400000,header,SEISAN_HUTTON_NM,3.8544125532035682,3.8291432588840486,3.841802848729632,779.4266625961116,735.3700934873757,757.1214556032269,3.8417779060438084,0.017868089369131035,3.841802848729632,2.4942685823425848e-05,0.3417779060438084,0.3417779060438084
