event,ML_event_mean,ML_event_median,ML_event_std,n_station,distance_min_km,distance_max_km,distance_mean_km,distance_median_km,header_ML_mean,header_ML_median,amplitude_h_nm_mean,ML_formula,ML_event_std_filled0,ML_event_std_error,ML_event_mean_minus_header,ML_event_median_minus_header,abs_ML_event_mean_minus_header
20140209113658_M3.1,3.1258393045066555,3.098100910537173,0.23501249712028094,4,23.492643356323242,69.74089050292969,45.86965751647949,45.12254810333252,3.0999999046325684,3.0999999046325684,3633.613671525569,SEISAN_HUTTON_NM,0.23501249712028094,0.11750624856014047,0.02583939987408712,-0.001898994095395512,0.02583939987408712
20140307080021_M3.1,2.8449154595774706,2.635072726875727,0.5385906285249397,5,21.55245018005371,161.338134765625,76.29841117858886,56.04475402832031,3.0999999046325684,3.0999999046325684,716.3431573461249,SEISAN_HUTTON_NM,0.5385906285249397,0.24086505148522047,-0.25508444505509775,-0.46492717775684156,0.25508444505509775
20140331030840_M3.2,3.644774462433296,3.644774462433296,0.07939142192333436,2,97.71015930175781,140.24667358398438,118.9784164428711,118.9784164428711,3.200000047683716,3.200000047683716,1685.4924435258936,SEISAN_HUTTON_NM,0.07939142192333436,0.056138212810032055,0.44477441474958024,0.44477441474958024,0.44477441474958024
20140520060702_M3.1,3.151331315180853,3.170729308463915,0.35442656219320284,3,62.98465347290039,155.24722290039062,107.82221094767253,105.23475646972656,3.0999999046325684,3.0999999046325684,984.5498642918182,SEISAN_HUTTON_NM,0.35442656219320284,0.20462827109019932,0.051331410548284495,0.07072940383134663,0.051331410548284495
20140606211426_M3.1,3.2538784609806917,3.3460726995862604,0.37001620718290185,6,74.0376205444336,253.5296173095703,175.43069966634116,185.57411193847656,3.0999999046325684,3.0999999046325684,448.5999922629435,SEISAN_HUTTON_NM,0.37001620718290185,0.15105848402634225,0.1538785563481233,0.24607279495369205,0.1538785563481233
20140719144216_M3.2,3.8562241987578365,3.9771384863136356,0.5718430532730719,3,30.264801025390625,163.02752685546875,98.52667744954427,102.28770446777344,3.200000047683716,3.200000047683716,4506.682985282631,SEISAN_HUTTON_NM,0.5718430532730719,0.3301537407414256,0.6562241510741207,0.7771384386299198,0.6562241510741207
20140722111139_M3.4,3.369393403106045,3.369393403106045,0.23803322908100952,2,59.156471252441406,100.28443145751953,79.72045135498047,79.72045135498047,3.4000000953674316,3.4000000953674316,2149.4955628290277,SEISAN_HUTTON_NM,0.23803322908100952,0.16831491043091273,-0.03060669226138657,-0.03060669226138657,0.03060669226138657
20140810214133_M3.0,3.4833165370223074,3.404520343978672,0.35997758412968417,3,26.870777130126953,159.21177673339844,96.4840482076009,103.36959075927734,3.0,3.0,2457.691634959559,SEISAN_HUTTON_NM,0.35997758412968417,0.2078331550995043,0.48331653702230737,0.404520343978672,0.48331653702230737
20141118184219_M3.4,4.030257613612186,4.030257613612186,0.006486353299225306,2,144.9298553466797,199.96664428710938,172.44824981689453,172.44824981689453,3.4000000953674316,3.4000000953674316,2168.459031530072,SEISAN_HUTTON_NM,0.006486353299225306,0.004586544403053949,0.6302575182447541,0.6302575182447541,0.6302575182447541
20150703103146_M3.6,3.9137945308371864,3.9137945308371864,0.1541568385686579,2,169.65298461914062,197.04360961914062,183.34829711914062,183.34829711914062,3.5999999046325684,3.5999999046325684,1543.6489274158378,SEISAN_HUTTON_NM,0.1541568385686579,0.1090053459181779,0.31379462620461807,0.31379462620461807,0.31379462620461807
