event,ML_event_mean,ML_event_std,ML_event_median,n_station,distance_min_km,distance_max_km,distance_mean_km,header_ML_mean
20150703103146_M3.6,10.417029953309843,0.02145740614468519,10.417029953309843,2,169.65298461914062,197.04360961914062,183.34829711914062,3.5999999046325684
20150727191845_M3.3,9.997438165404017,,9.997438165404017,1,189.36767578125,189.36767578125,189.36767578125,3.299999952316284
20150813155739_M3.3,9.77861210952149,0.36127933794456946,9.77861210952149,2,152.93516540527344,225.16098022460938,189.0480728149414,3.299999952316284
20150919102101_M3.1,10.106350520606178,0.33236694188109683,10.106350520606178,2,56.17161560058594,176.93670654296875,116.55416107177734,3.0999999046325684
20150924013925_M3.0,9.953782794836759,,9.953782794836759,1,62.90781021118164,62.90781021118164,62.90781021118164,3.0999999046325684
20151214080448_M3.2,10.655792986173882,,10.655792986173882,1,151.59075927734375,151.59075927734375,151.59075927734375,3.200000047683716
20151228062903_M3.4,10.580790454533776,,10.580790454533776,1,47.5050163269043,47.5050163269043,47.5050163269043,3.4000000953674316
20160213172935_M3.0,9.787338457385188,,9.787338457385188,1,219.89048767089844,219.89048767089844,219.89048767089844,3.0
20160803063422_M3.3,9.990086665289343,0.6089652220158253,9.990086665289343,2,53.53642272949219,80.93386840820312,67.23514556884766,3.299999952316284
20160826152318_M3.0,9.912565981280238,0.10285629200939594,9.949453226421662,3,77.03630828857422,212.70236206054688,126.3998540242513,3.0
20161021130441_M3.2,9.631903781821855,0.4264986224182708,9.74067888095738,3,127.84062957763672,181.38735961914062,162.94497426350912,3.200000047683716
20161028232611_M3.1,9.70032218307497,0.18201502941783537,9.70032218307497,2,121.37066650390625,175.07260131835938,148.2216339111328,3.0999999046325684
20161121221500_M3.1,9.963474092710683,0.1535497090471537,9.963474092710683,2,105.4611587524414,124.33051300048828,114.89583587646484,3.0
20161216010941_M3.1,9.539229383814355,0.0901623830345164,9.539229383814355,2,58.75263977050781,99.44541931152344,79.09902954101562,3.0999999046325684
20170113224953_M3.0,9.756469934020323,0.7560743132773824,9.977148996820649,3,74.37507629394531,110.51898193359375,96.63253529866536,3.0
20170425170301_M3.0,10.006097018478258,,10.006097018478258,1,199.1945343017578,199.1945343017578,199.1945343017578,3.0
20170516080549_M3.0,8.389805333195891,1.1886933538602997,8.235145755760813,4,24.253311157226562,102.851806640625,53.3314208984375,3.0
20170519052826_M3.3,10.56396439664894,0.43553954428942715,10.377462912198169,3,105.7388687133789,197.5402374267578,158.7413558959961,3.299999952316284
20171225080157_M3.3,10.089805040150493,0.19206164616036994,10.118267153440055,3,53.80501937866211,71.77166748046875,62.909095764160156,3.299999952316284
20180106050851_ML2.2,9.15219593464887,0.25187996499875936,9.18895795721889,4,55.50722122192383,99.34440612792969,77.46305751800537,2.200000047683716
20180107201233_ML4.0,10.912734908213498,0.22378785742992333,10.87055032905998,8,67.599853515625,308.4378662109375,106.92147827148438,4.0
20180107201417_ML4.0,10.442948237224936,0.9987671087601923,10.733958474543696,5,29.2569637298584,92.63671875,68.76968116760254,4.0
20180107212800_ML2.5,9.43264518427701,0.9781966528767715,9.840779000963582,4,30.326541900634766,93.8883285522461,71.41661167144775,2.5
20180108232005_ML4.3,10.616121876691714,0.9274696554542102,10.921791862962618,12,27.234952926635742,354.2330322265625,124.64177815119426,4.300000190734863
20180108232645_ML2.9,9.378009810325958,0.2152061507634265,9.401977815035172,5,76.19749450683594,131.34738159179688,90.84987945556641,2.9000000953674316
20180109133033_ML3.5,10.077980175363503,0.2560265934360368,10.104954092101613,5,63.35530090332031,188.07037353515625,105.61192779541015,3.5
20180109133100_ML3.5,9.95478068740796,0.28274192948817545,10.015318909534303,6,64.69464111328125,184.5237579345703,116.02356847127278,3.5
20180109144406_ML2.7,9.483911359319684,0.35168340502486606,9.417100643389642,4,25.208051681518555,125.52194213867188,74.06651449203491,2.700000047683716
20180113044909_ML3.0,9.75882798997361,0.5994277501466359,9.917524291985995,8,27.871723175048828,87.87301635742188,70.53558111190796,3.0
20180113045015_ML3.4,9.772825590132006,0.1372523525929942,9.699491053989714,3,31.423906326293945,75.72359466552734,55.96710522969564,3.4000000953674316
20180114151600_ML3.1,9.8317836574419,0.5380199572322685,9.785045198946804,5,30.40273094177246,153.737548828125,89.12952537536621,3.0999999046325684
20180114151651_ML3.1,9.756649863476596,0.6365806359704889,9.791485511853207,5,32.606101989746094,155.52638244628906,89.5195327758789,3.0999999046325684
20180120181237_ML2.3,8.860729098209651,0.7278377547797811,8.978180336649197,5,26.30547332763672,87.98971557617188,65.9965103149414,2.299999952316284
20180202035239_ML3.4,10.096304808007705,0.30649973671544356,10.083258383889088,5,62.21481704711914,166.53501892089844,100.39730911254883,3.4000000953674316
20180202154633_ML2.4,9.926740941292017,0.8357473207038638,9.869414742759368,4,59.97964096069336,147.10580444335938,109.38370037078857,2.700000047683716
20180202213138_ML3.0,10.013703723303111,0.3681614819797053,10.223196406575893,3,146.77467346191406,165.81149291992188,155.52042643229166,3.0
20180208220204_ML2.2,9.524448741464635,0.2179743665331486,9.409759430073578,3,68.36201477050781,130.472900390625,90.36645253499348,2.200000047683716
20180209124828_ML3.9,10.513104288922074,0.883592573237117,10.671620700610283,8,29.001569747924805,304.0901794433594,123.20490288734436,3.9000000953674316
