[OK] 20110425_103049_M2.8 | DBVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=80.761 km | maxdisp=5.266058e+05 mm | maxvel=1.035900e+07 mm
[OK] 20110425_103049_M2.8 | HGVB.HHE..SAC | unit=m | phase_source=header_PS | dist=178.414 km | maxdisp=1.893306e+05 mm | maxvel=2.035000e+06 mm
[OK] 20110425_103049_M2.8 | HGVB.HHN..SAC | unit=m | phase_source=header_PS | dist=178.414 km | maxdisp=2.343135e+05 mm | maxvel=2.320000e+06 mm
[OK] 20110425_103049_M2.8 | HGVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=178.414 km | maxdisp=1.737730e+05 mm | maxvel=1.948000e+06 mm
[OK] 20110425_103049_M2.8 | MLVB.HHE..SAC | unit=m | phase_source=header_PS | dist=51.011 km | maxdisp=1.461296e+05 mm | maxvel=1.599100e+07 mm
[OK] 20110425_103049_M2.8 | MLVB.HHN..SAC | unit=m | phase_source=header_PS | dist=51.011 km | maxdisp=1.363570e+05 mm | maxvel=1.365800e+07 mm
[OK] 20110425_103049_M2.8 | MLVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=51.011 km | maxdisp=1.269085e+05 mm | maxvel=1.835300e+07 mm
[OK] 20110425_103049_M2.8 | SPVB.HHE..SAC | unit=m | phase_source=header_PS | dist=63.326 km | maxdisp=2.118171e+06 mm | maxvel=8.609000e+06 mm
[OK] 20110425_103049_M2.8 | SPVB.HHN..SAC | unit=m | phase_source=header_PS | dist=63.326 km | maxdisp=2.347849e+06 mm | maxvel=1.304100e+07 mm
[OK] 20110425_103049_M2.8 | SPVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=63.326 km | maxdisp=9.998781e+05 mm | maxvel=2.512400e+07 mm
[OK] 20110425_103049_M2.8 | TGVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=36.156 km | maxdisp=1.533639e+06 mm | maxvel=1.596300e+07 mm
[OK] 20110425_103049_M2.8 | TGVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=36.156 km | maxdisp=6.429845e+05 mm | maxvel=1.272100e+07 mm
[OK] 20110425_103049_M2.8 | TGVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=36.156 km | maxdisp=4.405644e+05 mm | maxvel=1.511900e+07 mm
[OK] 20110425_103049_M2.8 | TTVB.HHE..SAC | unit=m | phase_source=header_PS | dist=91.003 km | maxdisp=2.760119e+05 mm | maxvel=5.983000e+06 mm
[OK] 20110425_103049_M2.8 | TTVB.HHN..SAC | unit=m | phase_source=header_PS | dist=91.003 km | maxdisp=2.869637e+05 mm | maxvel=5.781000e+06 mm
[OK] 20110425_103049_M2.8 | TTVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=91.003 km | maxdisp=3.984722e+05 mm | maxvel=6.556000e+06 mm
[OK] 20110428_020153_M3.3 | DBVB.HHE..SAC | unit=m | phase_source=header_PS | dist=76.161 km | maxdisp=2.141092e+06 mm | maxvel=5.141000e+07 mm
[OK] 20110428_020153_M3.3 | DBVB.HHN..SAC | unit=m | phase_source=header_PS | dist=76.161 km | maxdisp=1.734783e+06 mm | maxvel=1.436200e+07 mm
[OK] 20110428_020153_M3.3 | DBVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=76.161 km | maxdisp=2.908812e+06 mm | maxvel=4.178800e+07 mm
[OK] 20110428_020153_M3.3 | HBVB.HHE..SAC | unit=m | phase_source=header_P_only | dist=219.098 km | maxdisp=4.980254e+05 mm | maxvel=7.392000e+06 mm
[OK] 20110428_020153_M3.3 | HBVB.HHN..SAC | unit=m | phase_source=header_P_only | dist=219.098 km | maxdisp=3.798100e+05 mm | maxvel=8.872000e+06 mm
[OK] 20110428_020153_M3.3 | HBVB.HHZ..SAC | unit=m | phase_source=header_P_only | dist=219.098 km | maxdisp=3.632337e+05 mm | maxvel=1.342400e+07 mm
[OK] 20110428_020153_M3.3 | MLVB.HHE..SAC | unit=m | phase_source=header_PS | dist=42.728 km | maxdisp=1.582214e+06 mm | maxvel=2.628900e+07 mm
[OK] 20110428_020153_M3.3 | MLVB.HHN..SAC | unit=m | phase_source=header_PS | dist=42.728 km | maxdisp=1.182874e+06 mm | maxvel=2.380000e+07 mm
[OK] 20110428_020153_M3.3 | MLVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=42.728 km | maxdisp=2.342571e+06 mm | maxvel=3.293900e+07 mm
