EVENT,filename,distance,maxdisp,LogA0Huton83,LogA0Le08,LogA0Nguyen11,MLHuton83,MLLe08,MLNguyen11
20200219_092702_M3.3,VTVB.HHN..SAC,201.2666473388672,13138755.004639803,-3.5285806750810202,-3.544178326708651,-3.5771709440581305,7.966134889602229,13.84073254122986,7.452058454904243
20200219_092702_M3.3,VTVB.HHZ..SAC,201.2666473388672,35586110.59849571,-3.5285806750810202,-3.544178326708651,-3.5771709440581305,8.398861199249074,14.273458850876704,7.680632566152836
20200228_181302_M4.0,DBVB.HHE..SAC,174.12733459472656,14736699.01035004,-3.407462979360047,-3.4171779736305607,-3.454689617486788,7.894863192724349,13.763578186994863,8.658206598119612
20200228_181302_M4.0,DBVB.HHN..SAC,174.12733459472656,24657602.04792497,-3.407462979360047,-3.4171779736305607,-3.454689617486788,8.118413818530087,13.987128812800602,8.760563116305171
20200228_181302_M4.0,DBVB.HHZ..SAC,174.12733459472656,9847324.840329023,-3.407462979360047,-3.4171779736305607,-3.454689617486788,7.719781243880057,13.58849623815057,8.393464440753286
20200228_181302_M4.0,HGVB.HHE..SAC,425.9822692871094,2821641.6325958082,-4.314731079244835,-4.396999434942002,-4.251612738905042,8.084232933854807,14.025501289551972,7.658323197514832
20200228_181302_M4.0,HGVB.HHN..SAC,425.9822692871094,709449.7763309473,-4.314731079244835,-4.396999434942002,-4.251612738905042,7.484652735367616,13.425921091064785,7.675186258637778
20200228_181302_M4.0,HGVB.HHZ..SAC,425.9822692871094,650307.840812154,-4.314731079244835,-4.396999434942002,-4.251612738905042,7.446850069606606,13.388118425303775,7.940655077933213
20200228_181302_M4.0,LAVB.HHE..SAC,408.1503601074219,358595.0716597251,-4.260414584853856,-4.33672378277115,-4.210739293028537,7.134018901408258,13.069328099325553,7.689738424701893
20200228_181302_M4.0,LAVB.HHN..SAC,408.1503601074219,211916.9859057578,-4.260414584853856,-4.33672378277115,-4.210739293028537,6.905580353218692,12.840889551135984,7.689305788622379
20200228_181302_M4.0,LAVB.HHZ..SAC,408.1503601074219,348320.60898791655,-4.260414584853856,-4.33672378277115,-4.210739293028537,7.121393755852267,13.056702953769559,7.359650286137892
