event,ML_mean,ML_std,ML_median,n_component,n_station,distance_min,distance_max,header_ML_mean
20190714014956_ML3.5,3.697363435025516,1.0268695457350325,4.21984606238864,24,8,33.68833541870117,183.01864624023438,3.5
20190714151156_ML3.6,4.183508036554246,0.6625819885179193,4.387835067716777,24,8,81.56531524658203,358.1656799316406,3.5999999046325684
20190720225038_ML3.8,4.29262209806814,0.676210017328764,4.5525374879211515,9,3,164.8399200439453,274.7142333984375,3.799999952316284
20190827092730_ML3.1,4.016247834560231,0.12450101528617032,4.017502910845341,9,3,49.607845306396484,269.1282653808594,3.0999999046325684
20190830222352_ML4.3,4.743135266362095,0.18063117037085671,4.758835256749209,24,8,180.92506408691406,392.34375,4.300000190734863
20190901071056_ML3.0,3.649735527466953,1.1552529230966453,4.127743491734509,6,2,119.89676666259766,149.9394073486328,3.0
20190901090956_ML3.5,4.451341958765241,0.30164651801299697,4.4752597941965355,27,9,72.13204193115234,358.7647705078125,3.5
20190922075530_ML3.9,4.831681620859824,0.11640730294191783,4.872727501274557,9,3,118.05650329589844,200.54605102539062,3.9000000953674316
20191006043335_ML3.4,4.187466512168034,0.16099916227399896,4.247097996071233,15,5,62.617218017578125,250.5486297607422,3.4000000953674316
20191103001530_ML3.3,4.3415685971093,0.27121072004085817,4.333686233678287,15,5,120.11654663085938,203.12521362304688,3.299999952316284
20191115110831_ML3.5,4.464739694554236,0.30664036829852775,4.519720820458916,15,5,130.01126098632812,223.2196044921875,3.5
20191119004305_ML3.7,4.614415325026244,0.23260024701853893,4.6215494588713595,18,6,122.42530059814453,332.826904296875,3.700000047683716
20191120083156_ML4.1,4.235375500275974,0.9953122871459664,4.602576099906032,30,10,31.37030792236328,402.0098571777344,4.099999904632568
20191120083223_ML4.1,4.638914809460183,0.2136256133655421,4.572886711872781,18,6,241.98011779785156,387.4294128417969,4.099999904632568
20191122080718_ML3.2,4.137605178953211,0.18164473177969473,4.118718412618561,12,4,130.68008422851562,243.9780731201172,3.200000047683716
20191127212856_ML3.0,3.3977826939743228,1.1670508479255157,3.8352632994682825,9,3,28.221269607543945,82.22691345214844,3.0
20191127234457_ML4.8,3.5387172947469674,1.2560064010292067,2.841257812944529,21,7,109.15680694580078,404.55755615234375,4.800000190734863
20191128005956_ML3.0,4.192524126676658,0.1661073264501487,4.204009081379852,9,3,110.00868225097656,163.61985778808594,3.0
20191201103456_ML3.0,4.239451306233636,0.14502391688691124,4.2144104870216585,12,4,64.21571350097656,179.02362060546875,3.0
20191203060956_ML3.1,4.248033970491392,0.2390651126762089,4.245505832771362,12,4,60.218074798583984,175.1492919921875,3.0999999046325684
20191228034224_ML3.0,3.986498155596961,0.3509131905397748,4.015818240186542,15,5,131.878662109375,224.58843994140625,3.0
20191230123956_ML3.1,3.970471276905885,0.2828310254609829,3.9270081857818786,21,7,53.06830978393555,240.20860290527344,3.0999999046325684
20200101040503_ML3.2,4.203541218995562,0.15367347079919308,4.233593781940383,18,6,116.58329772949219,241.22996520996094,3.200000047683716
20200103123939_ML3.1,4.218226308486335,0.2191112130357435,4.250385679102296,21,7,100.75894927978516,249.80364990234375,3.0999999046325684
20200122212559_ML4.1,4.71656370896403,0.20551926855094008,4.6642651574904574,18,6,180.92520141601562,381.0425720214844,4.099999904632568
20200219092617_ML3.3,4.523690793936491,0.2785267860706465,4.548802930518913,21,7,61.307552337646484,264.4635009765625,3.299999952316284
20200228181235_ML4.0,4.687951107596103,0.2649807917305423,4.661662609944726,24,8,174.12733459472656,425.9822692871094,4.0
20200229081258_ML2.6,3.690555976065658,0.2965206897409603,3.6562879219137576,24,8,54.68782424926758,327.4145812988281,2.5999999046325684
20200312211615_ML3.1,4.127490694414223,0.2904341320473268,4.041633681795341,21,7,121.26374816894531,237.3206787109375,3.0999999046325684
20200321051715_ML2.1,2.988328591336705,0.29068237366468114,2.9837514838280192,12,4,28.422698974609375,137.46624755859375,2.0999999046325684
20200329053125_ML2.1,2.7476426182458913,0.425620258456457,2.8251870569275823,12,4,37.96985626220703,85.31893157958984,2.0999999046325684
20200403224444_ML2.0,3.346865643944366,0.24972231263762243,3.244862960974573,9,3,70.41111755371094,115.82333374023438,2.0
20200410200151_ML4.3,4.614366036587457,0.5412687441925192,4.692587122599855,39,13,172.0963134765625,532.7078857421875,4.300000190734863
20200418115437_ML2.5,3.180094782701061,0.49292433417458614,3.172136304816619,18,6,42.470794677734375,175.44375610351562,2.5
20200505215456_ML3.3,3.98797997801931,0.8737649369184554,4.292860440725324,27,9,44.80533218383789,216.81588745117188,3.299999952316284
20200615164203_ML3.4,3.707019754453721,0.9715373321204716,3.966045209253593,21,7,23.87666893005371,240.98941040039062,3.4000000953674316
20200616061112_ML4.8,4.3857119554509785,1.3888305705965625,5.307291878322729,39,13,71.7759780883789,504.64862060546875,4.800000190734863
20200616085400_ML2.0,2.4926919084802766,0.44258323383887416,2.420621243761262,9,3,21.019479751586914,123.0810317993164,2.0
20200616150212_ML2.5,2.6528135949359464,0.7508645314250285,2.740708220827121,9,3,24.69209098815918,75.10014343261719,2.5
20200616180823_ML2.1,2.764397844623728,0.7325752367760311,3.09794221619927,12,4,22.28849220275879,124.43588256835938,2.0999999046325684
20200616204631_ML2.8,3.4724734873323695,0.6566465702676663,3.654351095680643,24,8,28.63528060913086,246.5675506591797,2.799999952316284
20200618191525_ML2.3,3.1846975285642487,0.3027719126204871,3.2826534817828508,12,4,53.025020599365234,129.2249755859375,2.299999952316284
20200618220017_ML2.9,3.7460336956716964,0.21270524906177254,3.8228606938786913,21,7,57.2203483581543,246.26783752441406,2.9000000953674316
20200619010812_ML3.1,3.8934636747103166,0.47154472667010744,3.8912199324190615,18,6,52.19199752807617,238.8785400390625,3.0999999046325684
20200622151923_ML3.3,4.332664747280257,0.2329549884985855,4.361484166225054,24,8,59.316219329833984,245.51806640625,3.299999952316284
20200626193357_ML3.8,4.213043128583583,0.8804061616148062,4.420508304096067,24,8,69.61004638671875,302.130126953125,3.799999952316284
20200628044025_ML2.6,3.721480937065761,0.11118037643538066,3.7259224531347446,6,2,72.59306335449219,124.63356018066406,2.5999999046325684
20200727051155_ML5.0,3.3185802558440343,0.849218642736322,3.006373151567941,39,13,65.95845794677734,297.49127197265625,5.0
20200727051157_ML5.1,3.3155032182179096,0.8495012415109162,3.006373151567941,39,13,65.70318603515625,297.49127197265625,5.046153802138108
20200727053656_ML3.0,3.649946486464609,0.7790858064512458,3.7892368946229635,21,7,66.88668060302734,211.7374267578125,3.0
20200727053659_ML3.3,3.7193526358050337,0.7467573832560335,3.808086515244769,24,8,66.88668060302734,211.7374267578125,3.149999976158142
20200727084957_ML3.4,3.674330532983703,1.032297352147475,4.225369505977268,12,4,63.28534698486328,147.3077392578125,3.4000000953674316
20200727084958_ML3.4,3.919918818310093,0.8799207255828743,4.2349856014955565,21,7,64.24407958984375,199.25115966796875,3.4000000953674316
20200727091456_ML3.3,3.683595508569164,1.0094630426701134,4.099293782159213,12,4,65.10099792480469,147.09132385253906,3.299999952316284
20200727091458_ML3.4,3.904023337225612,0.9357447478402706,4.232754029366513,21,7,63.89535140991211,199.09970092773438,3.4000000953674316
20200727162248_ML2.6,3.8089278047252635,0.6772035195090998,3.784874846302534,6,2,65.42149353027344,94.97087860107422,2.5999999046325684
20200727231556_ML3.4,3.6388044186879775,1.0996666788554792,4.2164843727891075,12,4,62.91695785522461,148.38209533691406,3.4000000953674316
20200727231559_ML3.0,3.8648628869078827,0.9632808489387653,4.242411363408133,21,7,62.71998596191406,197.7621307373047,3.0
20200728012456_ML4.1,4.487324806190745,1.0262799756669363,4.873094675350244,21,7,63.70561599731445,205.37399291992188,4.099999904632568
20200728012458_ML3.8,4.494502343838139,1.0090312488140971,4.873094675350244,21,7,64.82554626464844,205.37399291992188,3.885714224406651
20200728022652_ML2.4,2.720137871338774,1.353712936923983,3.0756319888685164,9,3,12.192464828491211,94.87798309326172,2.4000000953674316
20200728045956_ML3.1,3.4494420089523694,0.9714796983453358,3.822190620018099,12,4,65.14823913574219,149.78021240234375,3.0999999046325684
20200728045959_ML3.5,3.7060750567892446,0.8985814414105816,3.964408397921361,18,6,63.811134338378906,183.78489685058594,3.5
20200728055918_ML2.7,3.8963246020712208,0.5609760447935697,3.9310065109153216,6,2,62.46263885498047,97.7876968383789,2.700000047683716
20200728110657_ML3.4,3.7448724540912863,1.0612273128523906,4.2244975723412175,12,4,65.06594848632812,148.76513671875,3.4000000953674316
20200728110658_ML3.4,3.919973923011422,0.9127922561324691,4.274006546876329,21,7,64.4041519165039,199.55836486816406,3.4000000953674316
20200728132556_ML3.5,4.0664965497531345,0.8628431445944426,4.257366799859009,21,7,64.3010482788086,214.28529357910156,3.5
20200728132559_ML3.4,3.971231561336214,0.8625288740568412,4.20027844310224,24,8,63.107669830322266,214.28529357910156,3.4125000834465027
20200728141056_ML2.4,3.4880712751011185,0.6320816735502904,3.484045272765136,6,2,62.99381637573242,97.61648559570312,2.4000000953674316
20200731222756_ML3.7,4.2400213735223415,0.7510657292105332,4.3840830241928685,27,9,65.8349380493164,246.579833984375,3.700000047683716
20200731225156_ML4.0,4.606467427329477,0.22265396940470913,4.6431056799577455,18,6,147.56900024414062,368.4537353515625,4.0
20200803101456_ML3.4,3.9240093673857666,0.9049898714670433,4.20116634952009,21,7,61.84349822998047,233.12112426757812,3.4000000953674316
20200803101458_ML3.5,4.230151470128201,0.32905311230712253,4.2092606087967885,21,7,64.52157592773438,233.12112426757812,3.200000047683716
20200804151956_ML3.0,3.9963531817311284,0.43415267635677696,3.8216649230152693,12,4,67.67330169677734,214.20498657226562,3.0
20200804152104_ML3.0,3.922460902770497,0.28131280926929453,3.8194941349693288,21,7,72.2721939086914,209.07603454589844,3.0
20200806104620_ML2.8,3.773854730768414,0.37495096150887264,3.6671463562849236,21,7,67.31633758544922,251.04013061523438,2.799999952316284
20200806232756_ML3.3,3.6420810188042485,0.8433262973730669,4.070858910965441,12,4,67.25849151611328,212.68930053710938,3.299999952316284
20200806232757_ML3.3,3.949832400831019,0.8222378710640897,4.142392226543134,18,6,67.25849151611328,212.68930053710938,3.299999952316284
20200807031756_ML3.1,3.452055660952121,1.0241340745168712,3.724907627450394,9,3,63.478309631347656,96.37052154541016,3.0999999046325684
20200817011156_ML4.4,4.282342102541238,1.3128210605769428,5.010431495101448,33,11,59.82718276977539,277.5130920410156,4.400000095367432
20200817011159_ML4.3,4.0799658053843455,1.335253756164838,4.84733255055445,27,9,61.30988311767578,243.72039794921875,4.333333492279053
